temp_variable,sign,trait_variable,AICc,converge
seas_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3371.185283,TRUE
max_sst_temp_lag1_scaled,*,age.maturity_ocean_scaled,3371.209596,TRUE
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3371.224096,TRUE
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3371.227963,TRUE
min_sst_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3371.310706,TRUE
min_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3371.324062,TRUE
min_sst_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.329982,TRUE
max_sst_temp_change_abs_scaled,*,age.max_ocean_scaled,3371.332732,TRUE
seas_sst_temp_change_abs_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3371.333923,TRUE
min_sst_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.362867,TRUE
seas_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3371.378862,TRUE
min_sst_temp_lag9_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3371.399326,TRUE
max_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3371.403933,TRUE
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3371.435915,TRUE
seas_sst_temp_change_abs_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.445876,TRUE
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.458388,TRUE
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3371.506073,TRUE
min_sst_temp_lag7_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3371.5097,TRUE
seas_sbt_temp_change_abs_lag2_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3371.517692,TRUE
max_sst_temp_change_abs_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.519947,TRUE
seas_sst_temp_change_abs_scaled,*,age.max_ocean_scaled,3371.521807,TRUE
seas_sbt_temp_change_abs_lag2_scaled,+,age.maturity_ocean_scaled + tl_ocean_scaled,3371.527942,TRUE
min_sbt_temp_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3371.536506,TRUE
min_sst_temp_change_lag8_scaled,*,tl_ocean_scaled + length.max_ocean_scaled,3371.565508,TRUE
